,P.Value,deltaBeta,feature
cg17849569,1.71E-16,0.417318174,TSS200
cg25308508,1.70E-16,0.537321159,IGR
cg15067583,1.68E-16,0.149778851,IGR
cg01759672,1.67E-16,0.220788815,Body
cg03409187,1.65E-16,0.659680052,IGR
cg10072309,1.63E-16,-0.050294728,1stExon
cg22720029,1.62E-16,-0.169510239,IGR
cg11140044,1.57E-16,0.233028186,Body
cg18990050,1.51E-16,0.62503998,Body
cg15616310,1.50E-16,0.390988593,Body
cg26490949,1.48E-16,-0.136885791,TSS1500
cg07582892,1.46E-16,0.488254278,Body
cg17854510,1.44E-16,0.254273326,Body
cg16108230,1.42E-16,0.56138305,IGR
cg05590156,1.41E-16,0.465415798,Body
cg15055149,1.39E-16,0.193785179,IGR
cg12635790,1.36E-16,-0.360513066,IGR
cg24251441,1.33E-16,0.248578406,Body
cg00981877,1.31E-16,-0.096597228,Body
cg10933003,1.30E-16,0.520485211,3'UTR
cg11884704,1.29E-16,0.358863317,Body
cg09667289,1.28E-16,0.565551841,Body
cg19267252,1.28E-16,0.574724661,IGR
cg11642106,1.28E-16,0.66823349,IGR
cg01746241,1.28E-16,0.445655072,Body
cg15348974,1.25E-16,-0.418129837,5'UTR
cg14339991,1.25E-16,0.28625626,Body
cg19643252,1.25E-16,0.218664702,Body
cg02631126,1.23E-16,0.490670499,TSS200
cg09256448,1.22E-16,-0.149947551,IGR
cg12211490,1.21E-16,0.301587316,IGR
cg27176870,1.18E-16,-0.030294071,TSS200
cg16326403,1.18E-16,-0.119288572,IGR
cg24674220,1.17E-16,0.330056273,5'UTR
ch.2.20642108R,1.17E-16,-0.359919408,IGR
cg24687102,1.14E-16,0.240889203,3'UTR
cg16477869,1.14E-16,0.350606521,Body
cg22445742,1.14E-16,0.394000322,Body
cg13644317,1.13E-16,0.583993351,IGR
cg11563680,1.13E-16,0.525674046,IGR
ch.16.50203954R,1.12E-16,-0.088087767,IGR
cg10819733,1.11E-16,-0.133619359,IGR
cg14166948,1.11E-16,-0.517759157,IGR
cg24021846,1.10E-16,-0.58920692,Body
cg20267580,1.08E-16,0.148614414,IGR
ch.5.2313526R,1.07E-16,-0.246902251,IGR
cg00834922,1.07E-16,-0.472621163,Body
cg06432061,1.05E-16,0.42600746,3'UTR
cg13246235,1.05E-16,0.690220359,Body
cg02878461,1.05E-16,0.433652769,TSS1500
cg10003032,1.04E-16,0.649683085,3'UTR
cg23438309,1.03E-16,0.365795797,5'UTR
cg01884549,1.02E-16,-0.449928141,5'UTR
cg22841079,1.01E-16,0.378355462,Body
cg15668490,1.01E-16,-0.334580515,5'UTR
cg07221454,9.84E-17,0.371836174,5'UTR
cg02865033,9.83E-17,0.221737073,Body
cg00139947,9.67E-17,0.068753459,Body
cg18185554,9.60E-17,0.245173992,5'UTR
cg22804528,9.34E-17,0.396294506,IGR
cg18384778,9.32E-17,0.667834976,IGR
cg13524563,9.30E-17,0.172698305,Body
cg08411049,9.26E-17,-0.553309775,1stExon
cg17322443,9.25E-17,0.417316253,TSS1500
cg01743658,8.86E-17,0.297154559,TSS1500
cg04281069,8.85E-17,0.12742347,Body
cg26256192,8.76E-17,0.516706798,Body
cg02623400,8.73E-17,0.477129284,1stExon
cg12979590,8.71E-17,0.310933528,5'UTR
cg06800840,8.69E-17,-0.358173067,Body
cg10187894,8.49E-17,0.415753939,IGR
cg00025357,8.39E-17,-0.277762037,Body
cg24360617,8.18E-17,-0.385123583,TSS200
cg07076109,8.16E-17,0.385477621,Body
cg13197551,8.08E-17,0.361891888,3'UTR
cg07321467,7.94E-17,-0.472136288,Body
cg20560283,7.80E-17,0.686363708,IGR
cg27255115,7.76E-17,0.518441475,Body
cg07489048,7.68E-17,0.536580208,1stExon
cg22508928,7.57E-17,0.363674332,Body
cg19841506,7.36E-17,-0.245918708,TSS1500
cg05336188,7.26E-17,0.529833546,Body
cg01660911,7.25E-17,0.637905423,TSS200
cg22507154,7.22E-17,0.467710177,IGR
ch.2.71774667F,7.08E-17,-0.207395199,IGR
cg22531371,7.06E-17,-0.277270358,TSS200
cg11884933,6.98E-17,0.387189095,Body
cg14296255,6.95E-17,0.21983262,IGR
cg07167423,6.83E-17,0.481914516,Body
cg13539545,6.77E-17,0.700149075,IGR
cg11589885,6.76E-17,0.389481767,Body
cg24171453,6.75E-17,-0.479349834,Body
cg13654836,6.67E-17,0.450709093,Body
cg14698665,6.66E-17,-0.584591657,Body
cg08292104,6.65E-17,0.472080188,Body
cg27388911,6.55E-17,-0.455049784,TSS1500
cg15871797,6.55E-17,-0.366438621,IGR
cg16257219,6.46E-17,-0.391278356,5'UTR
cg15292765,6.41E-17,0.627422287,Body
cg06215107,6.34E-17,0.458553168,Body
cg13397024,6.33E-17,0.268532586,Body
cg07805952,6.31E-17,0.342532073,Body
cg25381091,6.13E-17,0.216648979,Body
cg26808687,6.12E-17,-0.5018165,TSS200
cg20945261,6.09E-17,-0.377540382,Body
cg06024289,6.08E-17,-0.096062162,TSS200
cg01421615,6.05E-17,0.379120629,5'UTR
cg07551060,6.00E-17,-0.593710958,Body
cg13680246,5.85E-17,0.191068712,Body
cg09173325,5.74E-17,0.337161844,3'UTR
cg22855933,5.64E-17,0.487911823,IGR
cg15975802,5.61E-17,-0.339317681,TSS1500
cg13374701,5.56E-17,-0.477227169,1stExon
cg07911905,5.52E-17,0.393749344,Body
cg10186347,5.40E-17,0.317394062,3'UTR
cg14160480,5.38E-17,0.541457494,Body
cg22647065,5.37E-17,0.048482942,Body
cg03363161,5.36E-17,0.564367351,IGR
cg15489799,5.23E-17,-0.356110819,IGR
cg25368651,5.16E-17,0.210532635,TSS1500
cg21785832,5.13E-17,0.491839003,Body
cg08121755,5.08E-17,-0.097181255,IGR
ch.5.432310R,4.98E-17,-0.187784954,Body
cg12815355,4.97E-17,0.481811378,Body
cg25137590,4.88E-17,0.328312501,3'UTR
cg03608515,4.88E-17,0.414946641,Body
cg22637867,4.84E-17,0.543370238,5'UTR
cg02956542,4.72E-17,-0.418489003,TSS1500
cg00146027,4.69E-17,-0.578497725,IGR
cg06839483,4.63E-17,0.182430834,Body
cg10156302,4.63E-17,0.618567932,Body
cg19473994,4.55E-17,0.258257527,Body
cg05050858,4.54E-17,0.309362917,Body
cg24140204,4.52E-17,-0.030057231,Body
cg18115040,4.48E-17,0.512709595,TSS200
cg12058490,4.45E-17,0.552819503,1stExon
cg11882053,4.43E-17,0.077659169,Body
cg18026055,4.39E-17,0.18591501,Body
cg21872383,4.28E-17,0.271888354,Body
cg10903903,4.20E-17,0.751820498,IGR
cg04227922,4.20E-17,0.548785124,IGR
cg24921858,4.14E-17,-0.52883914,5'UTR
cg09767658,4.08E-17,0.504353006,5'UTR
cg04133658,4.06E-17,0.445941913,Body
cg19130973,4.02E-17,0.518977513,Body
cg10696787,4.01E-17,-0.215863741,TSS1500
cg00054496,4.00E-17,0.182048483,Body
cg00602502,3.99E-17,0.27869094,Body
cg27108984,3.90E-17,0.158524407,IGR
cg23109867,3.77E-17,0.129351376,Body
cg12294026,3.71E-17,0.264931751,Body
cg20319604,3.70E-17,0.435356671,Body
cg01979888,3.66E-17,0.530161233,TSS200
cg15409097,3.63E-17,0.616043921,TSS1500
cg21684411,3.60E-17,-0.519365548,3'UTR
cg12595013,3.54E-17,0.528304726,1stExon
cg17514558,3.51E-17,0.647347332,Body
cg17241310,3.50E-17,0.394000695,TSS200
cg07387383,3.46E-17,-0.135477365,IGR
cg07816247,3.44E-17,0.44012102,5'UTR
cg27317046,3.44E-17,0.664776197,Body
cg18901278,3.35E-17,-0.242068128,Body
cg19371349,3.30E-17,-0.296317023,Body
cg17448336,3.29E-17,0.466046753,IGR
cg15204594,3.29E-17,0.376751395,Body
cg06563066,3.19E-17,0.420819662,3'UTR
cg15834395,3.19E-17,-0.404297338,Body
cg12099459,3.17E-17,0.267774624,IGR
ch.7.3189261R,3.15E-17,-0.168262928,5'UTR
cg12652578,3.14E-17,0.191881521,TSS1500
cg01529552,2.96E-17,0.354910402,Body
cg02829743,2.95E-17,0.5808484,IGR
cg18470710,2.94E-17,-0.040855882,IGR
cg03512098,2.90E-17,0.573323366,Body
cg07740579,2.90E-17,-0.131215298,5'UTR
cg19593741,2.86E-17,0.487905145,Body
cg22089890,2.84E-17,-0.162376164,IGR
cg27323046,2.74E-17,0.21241069,Body
cg09423312,2.73E-17,0.645763306,Body
cg23619365,2.73E-17,0.624297991,IGR
cg08277036,2.72E-17,0.328186891,Body
cg21475076,2.66E-17,-0.618240666,IGR
cg22305167,2.66E-17,0.620349026,IGR
ch.2.1685112F,2.65E-17,-0.035047937,Body
cg19185339,2.58E-17,0.348054361,3'UTR
cg07336872,2.53E-17,-0.401502262,IGR
cg23224619,2.46E-17,0.547691375,Body
ch.2.30415474F,2.46E-17,-0.132546175,IGR
cg03961824,2.38E-17,0.478630513,IGR
cg14259755,2.36E-17,0.433990597,Body
cg16926102,2.36E-17,0.449793517,IGR
cg14231297,2.35E-17,0.592735952,TSS200
cg13944175,2.33E-17,0.500281367,Body
cg06750897,2.27E-17,0.575403286,Body
cg15031409,2.27E-17,0.350952363,Body
cg06804334,2.27E-17,0.452680803,IGR
cg11786839,2.25E-17,0.246019137,Body
cg05001531,2.25E-17,0.250143468,Body
cg26777809,2.22E-17,0.263851455,Body
cg25688164,2.16E-17,0.293755221,Body
cg26728422,2.15E-17,-0.148365916,5'UTR
ch.2.207814544R,2.10E-17,-0.151796151,IGR
cg04172795,2.09E-17,0.33656894,Body
cg00900642,2.06E-17,0.326482706,3'UTR
cg07171687,2.02E-17,0.47742356,Body
cg02805890,2.01E-17,-0.285603984,IGR
cg02477677,2.01E-17,0.254494493,Body
cg14268200,2.00E-17,0.139803929,3'UTR
cg09890930,1.96E-17,0.499144579,Body
cg23508701,1.95E-17,0.34562677,IGR
cg22441310,1.93E-17,-0.096419915,TSS1500
cg22932220,1.92E-17,-0.142259592,Body
cg00233633,1.78E-17,-0.45059376,Body
cg18715665,1.78E-17,0.191430799,IGR
cg15818307,1.76E-17,0.56197012,IGR
cg21072457,1.75E-17,0.322333398,IGR
cg27449114,1.72E-17,-0.191778091,3'UTR
cg07321730,1.70E-17,0.404424257,Body
cg10154122,1.70E-17,-0.116030037,TSS1500
cg15812456,1.68E-17,0.275969933,5'UTR
cg07683388,1.67E-17,0.426646569,Body
cg23953820,1.63E-17,-0.445452492,TSS1500
cg03779326,1.63E-17,-0.31185886,IGR
cg00955413,1.62E-17,0.305555367,Body
cg22400703,1.56E-17,0.671906675,Body
cg12991093,1.55E-17,0.395071155,Body
cg02075410,1.54E-17,0.254186528,Body
cg18488157,1.54E-17,0.630715177,IGR
cg22815766,1.49E-17,0.285122178,3'UTR
cg23013977,1.47E-17,0.460295718,Body
cg12560128,1.46E-17,-0.413491135,TSS1500
cg15279236,1.46E-17,0.239278935,3'UTR
cg02875879,1.45E-17,0.329768522,Body
cg21133153,1.45E-17,0.505433771,IGR
cg11348165,1.44E-17,-0.491279615,TSS1500
cg22047282,1.44E-17,0.432593245,1stExon
cg12136716,1.42E-17,0.385061434,IGR
cg20135002,1.37E-17,0.40402412,IGR
cg03307103,1.35E-17,0.463389009,IGR
cg10721834,1.35E-17,0.561215127,IGR
cg17395184,1.31E-17,0.429402671,TSS1500
cg17906168,1.29E-17,0.455646707,3'UTR
cg27385729,1.29E-17,0.295692404,3'UTR
cg20146489,1.29E-17,0.183623579,Body
cg15452970,1.26E-17,0.455225883,IGR
cg13761284,1.24E-17,0.337478242,Body
cg03228945,1.22E-17,0.20909192,Body
cg20568402,1.20E-17,0.140273992,Body
cg10460946,1.19E-17,-0.313070461,IGR
cg00713400,1.17E-17,0.530309857,Body
cg06635797,1.16E-17,-0.178508199,Body
cg08526825,1.15E-17,-0.0361135,TSS200
cg17941572,1.13E-17,0.63386163,IGR
cg09519218,1.13E-17,0.480172445,Body
cg12217400,1.09E-17,0.511736085,IGR
cg02749105,1.09E-17,0.348678554,3'UTR
cg23883696,1.08E-17,0.557014006,TSS1500
cg10420161,1.05E-17,0.440009478,IGR
cg06962177,1.05E-17,0.693951131,IGR
cg16681349,1.03E-17,0.255073323,IGR
cg16731157,9.95E-18,-0.195549777,5'UTR
cg04971812,9.94E-18,0.312471439,3'UTR
cg03945895,9.84E-18,0.215735377,Body
cg22694818,9.56E-18,0.54929262,5'UTR
cg20342184,9.28E-18,-0.2979761,TSS1500
cg19368394,9.09E-18,0.233650625,Body
cg07390924,9.08E-18,-0.141088391,TSS200
cg27032232,9.08E-18,0.662848105,1stExon
cg23019889,9.04E-18,0.576500057,IGR
cg27339188,8.85E-18,0.259969223,3'UTR
cg09498078,8.71E-18,-0.395542162,Body
cg23767994,8.64E-18,0.479913989,Body
cg09281979,8.37E-18,-0.530158136,TSS1500
cg06634862,8.30E-18,-0.597653752,5'UTR
cg17680211,8.17E-18,0.370621385,IGR
cg07301329,8.07E-18,-0.611073095,5'UTR
cg24335895,7.96E-18,0.600027559,TSS200
cg23423191,7.74E-18,0.415042749,Body
cg23094728,7.64E-18,-0.382652502,TSS1500
cg26185061,7.61E-18,-0.493574668,IGR
cg13099139,7.52E-18,0.459590209,Body
cg03083695,7.44E-18,0.472255709,Body
cg11517269,7.32E-18,0.514391346,TSS200
cg23058673,7.29E-18,0.281203857,Body
cg01492538,7.28E-18,0.433965789,Body
cg25652751,7.20E-18,0.603940247,5'UTR
cg19447686,7.12E-18,-0.18630617,Body
cg15164103,7.06E-18,-0.442700069,5'UTR
cg03053290,6.98E-18,0.477782837,TSS1500
cg11912239,6.94E-18,0.307148552,3'UTR
cg21871213,6.83E-18,0.046060821,Body
cg09469566,6.78E-18,0.474195839,IGR
cg20844771,6.74E-18,-0.060205183,Body
cg26279070,6.69E-18,0.502545624,IGR
cg10215604,6.68E-18,0.407259667,Body
cg15541630,6.64E-18,0.547209673,1stExon
cg02930963,6.61E-18,0.503498038,Body
cg22747480,6.60E-18,0.526960042,Body
cg20019985,6.46E-18,0.469953255,IGR
cg25101225,6.39E-18,0.508082582,Body
cg12290311,6.37E-18,0.612213871,5'UTR
cg04645914,6.27E-18,0.571048053,IGR
cg18815957,6.21E-18,0.357670408,IGR
cg07911361,6.18E-18,0.487879114,Body
cg00819362,6.14E-18,0.19376337,TSS1500
cg02974976,5.84E-18,0.251630688,Body
cg03339668,5.71E-18,0.457984219,Body
cg19258062,5.68E-18,0.477099414,TSS1500
cg01802532,5.58E-18,-0.442530176,Body
cg03400374,5.33E-18,-0.326790466,TSS200
cg03293507,5.24E-18,0.347926351,Body
cg00435692,5.16E-18,0.427644791,Body
cg23605961,5.11E-18,0.634404836,5'UTR
cg16016888,5.07E-18,0.266512182,IGR
cg16582419,5.01E-18,0.397664296,Body
cg00909706,4.95E-18,0.233457474,TSS200
cg26425555,4.89E-18,-0.213600409,Body
cg21449597,4.87E-18,-0.488645102,IGR
cg07533239,4.80E-18,-0.475992857,1stExon
cg08381537,4.78E-18,0.213448676,Body
cg13035743,4.69E-18,0.678097946,1stExon
cg18490614,4.68E-18,0.546135936,IGR
cg25788793,4.68E-18,-0.349235381,5'UTR
cg07998554,4.64E-18,-0.512084974,TSS200
cg06663644,4.63E-18,-0.295211959,Body
cg21636841,4.53E-18,0.244974262,Body
cg07227769,4.50E-18,0.192320775,IGR
cg03716984,4.50E-18,0.456296674,IGR
cg13531667,4.23E-18,-0.239795819,TSS1500
cg01072968,4.20E-18,0.233635856,Body
cg14160968,4.04E-18,0.5176311,IGR
cg13858127,3.93E-18,0.520552086,Body
cg20821276,3.91E-18,-0.434959465,IGR
cg04340114,3.90E-18,0.464744764,5'UTR
cg17617228,3.89E-18,0.259818345,Body
cg02911077,3.79E-18,-0.315031421,Body
ch.13.22912778R,3.64E-18,-0.120815176,IGR
cg02764093,3.63E-18,0.459427502,Body
cg04986336,3.59E-18,-0.362865282,TSS1500
cg00334063,3.55E-18,0.713004881,3'UTR
cg14460715,3.53E-18,0.38164611,Body
cg06952873,3.49E-18,0.462603892,Body
cg20779964,3.43E-18,0.507737464,TSS200
cg04556126,3.41E-18,0.641867192,3'UTR
cg11979621,3.37E-18,0.286704685,Body
cg25963540,3.32E-18,0.148563512,3'UTR
cg05373657,3.25E-18,-0.415602406,5'UTR
cg26410635,3.23E-18,0.437637741,Body
cg00830492,3.20E-18,0.455597616,Body
cg08152445,3.20E-18,0.219263746,IGR
cg08979319,3.11E-18,0.509204303,Body
cg18105139,3.08E-18,0.487238116,TSS200
cg20675852,3.07E-18,0.222903403,3'UTR
cg10434977,3.05E-18,0.51586156,IGR
cg06746318,3.03E-18,0.30972824,Body
cg18053228,3.01E-18,0.339942076,Body
cg17833037,2.93E-18,-0.25289539,Body
cg10146935,2.89E-18,-0.438299308,Body
cg15185538,2.86E-18,0.24214448,3'UTR
cg10857221,2.86E-18,-0.40554753,Body
cg16126286,2.79E-18,0.539372269,Body
cg03432172,2.77E-18,0.349785468,Body
cg22041712,2.68E-18,0.251533601,Body
cg17154218,2.66E-18,0.486322375,Body
cg01403655,2.61E-18,0.400221738,IGR
cg27418434,2.60E-18,0.251274595,Body
cg23733260,2.55E-18,0.530695476,5'UTR
cg18113295,2.54E-18,0.431485992,Body
cg20984812,2.52E-18,0.216845929,3'UTR
cg03528946,2.48E-18,-0.190232615,TSS1500
cg24997562,2.46E-18,-0.129338872,1stExon
cg03574723,2.45E-18,0.449514739,1stExon
cg25107522,2.44E-18,0.510266346,Body
cg05774231,2.31E-18,0.416722487,Body
cg22608507,2.30E-18,-0.381718909,Body
cg20326647,2.29E-18,-0.496003878,IGR
cg10278102,2.28E-18,-0.402076751,5'UTR
cg01428378,2.23E-18,-0.243368712,Body
cg20614671,2.18E-18,0.46383704,Body
cg26687173,2.13E-18,0.362414602,1stExon
cg23948703,2.11E-18,0.332286432,3'UTR
cg09828761,2.11E-18,0.213388967,Body
cg27264388,2.08E-18,0.147125107,TSS200
cg25431366,2.08E-18,0.403281641,Body
cg15722631,2.08E-18,0.239553324,Body
cg00746143,2.04E-18,0.528614025,Body
cg00711274,2.04E-18,0.363465161,IGR
cg18708986,1.92E-18,0.455588572,IGR
cg04245961,1.86E-18,0.286607503,Body
cg20225745,1.85E-18,-0.474374832,TSS200
cg05899103,1.84E-18,0.269240282,Body
cg22571393,1.83E-18,0.426586344,Body
cg01116137,1.82E-18,0.646456675,Body
cg15239904,1.80E-18,-0.474687928,IGR
cg11553755,1.80E-18,0.369742214,5'UTR
cg11963912,1.78E-18,-0.393994237,Body
cg18286127,1.76E-18,0.394033829,Body
cg01286685,1.75E-18,0.434538683,Body
cg18562759,1.69E-18,0.333945143,1stExon
cg22762215,1.63E-18,0.532326795,IGR
cg03951833,1.62E-18,0.481299745,IGR
cg01494399,1.61E-18,0.435992979,Body
cg13983182,1.61E-18,0.402471724,Body
cg16583552,1.60E-18,0.476714163,1stExon
cg16355591,1.58E-18,0.393570722,IGR
cg24292761,1.58E-18,0.596365647,IGR
cg23055735,1.55E-18,0.461917003,Body
cg13651876,1.52E-18,0.180281216,Body
cg14418633,1.48E-18,0.541026665,Body
cg15454563,1.46E-18,0.20924561,5'UTR
cg02713960,1.43E-18,-0.238298537,Body
ch.16.64748135R,1.41E-18,-0.061628053,IGR
cg08404702,1.35E-18,0.210442412,Body
cg00348389,1.33E-18,0.312740211,Body
cg22610645,1.33E-18,0.519743618,TSS1500
cg07152605,1.32E-18,0.512100401,Body
cg25037384,1.31E-18,-0.23098335,TSS1500
cg13591369,1.31E-18,0.307913402,Body
cg01518607,1.22E-18,0.7035477,IGR
cg15949277,1.22E-18,-0.071553746,TSS1500
cg18951537,1.18E-18,0.318972991,Body
cg25367139,1.16E-18,0.354290771,5'UTR
cg21138550,1.12E-18,0.485038415,Body
cg04472592,1.10E-18,-0.521249397,TSS200
cg08474826,1.09E-18,-0.515659904,IGR
cg12801030,1.05E-18,-0.43887879,IGR
cg12424867,1.04E-18,0.423052779,Body
cg08335767,9.77E-19,-0.358740057,5'UTR
ch.2.65899595R,9.61E-19,-0.047722431,IGR
cg01948202,9.44E-19,-0.367206251,Body
cg11344997,9.33E-19,0.24824725,IGR
cg00222472,9.12E-19,0.481969843,Body
cg23206461,8.63E-19,0.599340179,IGR
cg08811888,8.60E-19,0.160357622,Body
cg02014107,8.41E-19,-0.079694352,TSS1500
cg26013796,8.32E-19,0.261934748,IGR
cg15814717,8.31E-19,0.489916482,IGR
cg18103150,8.22E-19,0.26890442,5'UTR
cg23962849,8.20E-19,0.260678132,IGR
cg06780032,8.17E-19,-0.459452483,IGR
cg04549583,8.16E-19,-0.170194472,IGR
cg06293872,8.13E-19,0.445286885,Body
cg03732263,8.12E-19,-0.230563769,3'UTR
cg00539976,7.88E-19,0.517770881,Body
cg15857051,7.61E-19,0.225026682,IGR
cg26953469,7.51E-19,0.521716294,IGR
cg24988684,7.50E-19,-0.321422505,Body
cg13754877,7.35E-19,-0.47157357,IGR
ch.15.68126615R,7.34E-19,-0.105799738,IGR
cg11207652,7.32E-19,0.111076301,Body
cg23063647,7.22E-19,0.643758464,TSS200
cg08712631,7.17E-19,0.2689659,Body
cg06087185,6.99E-19,0.558262424,IGR
cg17560267,6.97E-19,0.442501374,IGR
cg01237887,6.93E-19,0.329269017,Body
cg12235073,6.76E-19,0.545981318,Body
ch.6.33611621F,6.72E-19,-0.09945034,IGR
cg06252985,6.63E-19,-0.294888766,5'UTR
cg11379081,6.60E-19,0.598440316,IGR
cg18916060,6.52E-19,0.276527203,IGR
cg10465672,6.42E-19,-0.072814861,TSS200
cg06443678,6.36E-19,0.39161381,IGR
cg12083852,6.22E-19,0.330147836,Body
cg07315493,6.15E-19,0.211101693,Body
ch.4.79753186F,6.01E-19,-0.120168479,IGR
cg12712747,5.73E-19,0.176035409,Body
ch.20.50133246R,5.71E-19,-0.284789892,IGR
cg18238808,5.57E-19,0.208145363,3'UTR
cg08214455,5.56E-19,0.332983286,IGR
cg23201812,5.43E-19,-0.38605028,IGR
cg17700835,5.33E-19,0.364421005,IGR
cg02455232,5.30E-19,0.196238121,Body
cg25719851,5.29E-19,-0.461251731,TSS1500
cg08404513,5.26E-19,0.368651624,Body
cg19272238,4.93E-19,0.337473474,3'UTR
cg02900757,4.88E-19,0.433930018,5'UTR
cg21366321,4.88E-19,0.237903092,3'UTR
cg24409808,4.87E-19,0.503637554,Body
cg09259797,4.87E-19,0.440698402,IGR
cg24174145,4.84E-19,-0.584622324,TSS200
cg09459774,4.65E-19,0.303507608,5'UTR
cg15701111,4.61E-19,0.405338665,TSS200
cg22473613,4.33E-19,0.336969763,3'UTR
cg08610426,4.31E-19,0.342440826,5'UTR
cg21710313,4.28E-19,-0.056213198,Body
cg21638357,4.21E-19,0.360704396,Body
cg22356324,4.14E-19,-0.317338713,Body
cg10445988,4.03E-19,0.518533746,Body
cg24916358,4.02E-19,-0.578020646,Body
cg18459040,4.02E-19,0.440335424,IGR
cg24699296,3.90E-19,0.47386533,Body
cg04290510,3.87E-19,-0.043999776,Body
cg14858786,3.85E-19,0.394659058,Body
cg16146033,3.85E-19,-0.377627001,Body
cg22262055,3.85E-19,0.238688705,3'UTR
cg00400448,3.82E-19,0.627046644,IGR
cg01426303,3.81E-19,0.515860798,Body
cg13726184,3.80E-19,0.352055949,Body
cg22657492,3.80E-19,0.351442781,Body
cg22620221,3.42E-19,0.5480791,TSS200
cg13549940,3.21E-19,0.588462848,Body
cg16282024,3.15E-19,0.336083999,Body
cg08728732,3.14E-19,0.199013158,Body
cg25454110,3.07E-19,0.433996431,Body
cg25352940,3.04E-19,-0.457546117,IGR
cg07539798,3.03E-19,0.459276362,Body
ch.20.1295406F,2.89E-19,-0.103965423,Body
cg11962640,2.72E-19,0.659334323,Body
cg21587238,2.71E-19,0.663828282,IGR
ch.7.1172609R,2.61E-19,-0.09186312,Body
cg23306063,2.55E-19,0.3290258,Body
cg19426522,2.49E-19,0.461976771,IGR
cg22620090,2.41E-19,0.698908269,IGR
cg09147401,2.30E-19,0.438836328,Body
cg05231888,2.22E-19,-0.145814366,Body
cg25735490,2.18E-19,0.460269955,Body
cg15454698,2.14E-19,-0.574705171,5'UTR
cg16659284,2.12E-19,0.567265886,Body
cg06084952,2.11E-19,0.27098031,3'UTR
cg08686960,2.07E-19,0.492997069,Body
cg27563985,2.07E-19,0.624890381,TSS1500
cg02739870,1.96E-19,-0.526691796,TSS1500
cg10172584,1.90E-19,0.514769176,TSS200
cg27391627,1.88E-19,0.476162032,IGR
cg16182302,1.87E-19,0.254086136,Body
cg24027320,1.84E-19,-0.268344844,TSS1500
cg20185617,1.83E-19,-0.463444288,IGR
ch.2.200726997F,1.83E-19,-0.06750243,IGR
cg02856716,1.83E-19,-0.345189248,Body
cg06114605,1.82E-19,0.472846208,3'UTR
cg06761530,1.81E-19,0.245634345,5'UTR
cg01150683,1.78E-19,0.474981087,IGR
cg05245070,1.72E-19,-0.108149257,Body
cg23006567,1.64E-19,0.526675445,IGR
cg08299299,1.64E-19,0.195028401,Body
cg24717490,1.62E-19,0.21947598,Body
cg24039780,1.58E-19,0.566468202,Body
cg05656364,1.57E-19,-0.466556659,5'UTR
cg24320816,1.57E-19,0.479355232,Body
cg03532926,1.56E-19,0.649315773,Body
cg19034132,1.54E-19,-0.546645548,IGR
cg02455346,1.52E-19,0.361472489,Body
cg19416570,1.44E-19,0.547305873,Body
cg10109635,1.39E-19,0.3835819,Body
cg18279776,1.38E-19,0.297604899,Body
cg26127114,1.37E-19,0.457018035,Body
cg17742459,1.25E-19,0.428131537,3'UTR
cg20879085,1.24E-19,-0.034288007,TSS200
cg23173517,1.22E-19,-0.08251177,Body
cg20340720,1.22E-19,0.440267881,Body
cg27648270,1.19E-19,0.430776345,TSS200
cg10520594,1.17E-19,-0.107718331,Body
cg17431079,1.09E-19,0.279798351,Body
cg18397073,1.09E-19,0.663213174,Body
ch.3.638689R,1.03E-19,-0.077898403,IGR
cg19615711,9.95E-20,0.426551869,IGR
cg02264079,9.78E-20,0.331880048,IGR
cg23760732,9.74E-20,0.477687726,3'UTR
cg13393408,9.04E-20,0.331142095,Body
cg03625953,8.95E-20,0.520887567,Body
cg18268547,8.90E-20,0.59603663,3'UTR
cg11468193,8.75E-20,-0.366725178,Body
cg05395187,8.72E-20,0.345568476,Body
cg02181247,8.43E-20,-0.4159162,TSS1500
cg25389463,8.40E-20,-0.185252107,TSS1500
cg21496803,8.07E-20,0.184037016,Body
cg24704593,7.96E-20,-0.606219258,TSS200
cg24059694,7.71E-20,0.32480895,3'UTR
cg02119494,7.39E-20,0.57161816,IGR
cg03286774,7.14E-20,0.149957908,Body
cg14747166,6.99E-20,0.329915217,5'UTR
cg03885270,6.96E-20,0.489290361,Body
cg25088009,6.67E-20,0.213993808,Body
cg07137606,6.67E-20,0.561654501,5'UTR
cg06074123,6.46E-20,0.25583501,IGR
cg17033166,6.40E-20,-0.337230253,IGR
cg18592926,6.20E-20,0.122130811,3'UTR
cg15205441,6.17E-20,0.573525229,5'UTR
cg09627520,5.94E-20,0.643527968,3'UTR
cg04225368,5.93E-20,-0.377754631,IGR
cg18774692,5.67E-20,0.362831262,IGR
cg25648436,5.62E-20,0.625550936,Body
cg08086906,5.57E-20,-0.061822505,TSS200
cg01025774,5.56E-20,0.438753485,IGR
cg10825839,5.46E-20,-0.402458942,5'UTR
ch.1.217016503F,5.11E-20,-0.085398291,IGR
cg12636499,4.68E-20,0.491471538,Body
cg22540040,4.61E-20,-0.475242766,IGR
cg25365544,4.46E-20,0.061812243,5'UTR
cg22828305,4.38E-20,0.25148483,Body
cg26770907,4.37E-20,0.508296401,IGR
cg04450037,4.25E-20,0.334198174,Body
cg04548336,4.23E-20,-0.609683733,Body
cg14343733,4.08E-20,0.395623979,3'UTR
cg00144335,3.92E-20,0.435833849,Body
