cpd_name	master_cpd_id	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles
trifluoperazine	26914	BRD-K89732114	33	FDA	DRD2	antagonist of dopamine receptor D2	Toronto Research Chemicals	T779200	CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1
BRD-K90370028	362207	BRD-K90370028	33	probe		screening hit	Broad Institute of MIT and Harvard		CC(=O)N[C@@H]1C\C=C\CCC(=O)N[C@@H](COC1=O)c1ccccc1
GW-843682X	348997	BRD-K90382497	33	probe	PLK1;PLK3	inhibitor of PLK1 and PLK3	Axon Medchem	1131	COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(N)=O)c2cc1OC
pitstop2	660985	BRD-K90570971	66	probe	CLTA;CLTB;CLTC;CLTCL1	inhibitor of clathrin and clathrin-independent endocytosis	Cellagen Technology	C7487-2	Brc1ccc(cc1)\C=C1/SC(NS(=O)(=O)c2cccc3ccccc23)=NC1=O
bosutinib	660346	BRD-K90746395	66	FDA	ABL1;SRC	inhibitor of SRC and ABL1	Selleck	S1014	COc1cc(Nc2cc(nc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl
MI-2	687714	BRD-K90860366	66	probe	MEN1	binder of menin; inhibitor of menin-MLL fusion protein	Broad Institute of MIT and Harvard		CCCc1cc2c(ncnc2s1)N1CCN(CC1)C1=NCC(C)(C)S1
O-6-benzylguanine	345712	BRD-K92041145	66	clinical	MGMT	inhibitor of O(6)-alkylguanine DNA alkyltransferases	Sigma-Aldrich	B2292	Nc1nc(OCc2ccccc2)c2[nH]cnc2n1
doxorubicin	36599	BRD-K92093830	66	FDA	TOP2A	inhibitor of topoisomerase II	Selleck	S1208	COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
tosedostat	417987	BRD-K92241597	270	clinical	ANPEP;LAP3;NPEPPS	"inhibitor of leucine aminopeptidase 3 (LAP), puromycin-sensitive aminopeptidase (PuSA), and aminopeptidase N"	Selleck	S1522	CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1
GSK461364	649862	BRD-K92428232	66	clinical	PLK1	inhibitor of polo-like kinase 1 (PLK1)	Selleck	S2193	C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(CN3CCN(C)CC3)cc12)c1ccccc1C(F)(F)F
bexarotene	374747	BRD-K92441787	66	FDA	RXRA;RXRB;RXRG	agonist of retinoid X receptors	LC Laboratories	B-2422	Cc1cc2c(cc1C(=C)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C
imatinib	345041	BRD-K92723993	66	FDA	ABL1;BCR;KIT	inhibitor of BCR-ABL1 and c-KIT	Selleck	S2475	CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1
BRD-K92856060	119769	BRD-K92856060	33	probe		screening hit	ChemBridge Corporation	7653590	COc1ccc(cc1[N+]([O-])=O)S(=O)(=O)N(C(C)=O)c1ccc(OC(C)=O)c2ccccc12
SMER-3	660286	BRD-K92960067	66	probe	CUL1;SKP1	inhibitor of E3-ubiquitin ligase	Tocris Bioscience	4375	O=C1c2ccccc2-c2nc3nonc3nc12
PAC-1	411832	BRD-K92991072	33	probe	CASP3	activator of procaspase-3	Tocris Bioscience	2581	Oc1c(CC=C)cccc1\C=N\NC(=O)CN1CCN(Cc2ccccc2)CC1
SJ-172550	416777	BRD-K93095519	33	probe	MDM2;TP53	inhibitor of p53-MDM2 interaction	Tocris Bioscience	3929	CCOc1cc(cc(Cl)c1OCC(=O)OC)\C=C1C(=O)N(N=C/1C)c1ccccc1
RAF265	660414	BRD-K93123848	66	clinical	BRAF;KDR	ihibitor of VEGFR2 and BRAF	Selleck	S2161	Cn1c(Nc2ccc(cc2)C(F)(F)F)nc2cc(Oc3ccnc(c3)-c3ncc([nH]3)C(F)(F)F)ccc12
AC55649	375487	BRD-K93176058	33	probe	RARB	agonist of retinoic acid receptor beta	ChemBridge Corporation	5308535	CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O
ML334 diastereomer	654278	BRD-K93367411	130	probe	KEAP1;NFE2L2	inhibitor of KEAP1-NFE2L2 protein-protein interaction	Broad Institute of MIT and Harvard		OC(=O)[C@@H]1CCCC[C@@H]1C(=O)N1CCc2ccccc2[C@H]1CN1C(=O)c2ccccc2C1=O
vorapaxar	660136	BRD-K93442924	66	clinical	F2R	antagonist of proteinase-activated receptor 1 (PAR1)	Axon Medchem	1755	CCOC(=O)N[C@@H]1CC[C@@H]2[C@H](C[C@@H]3[C@@H]([C@@H](C)OC3=O)[C@H]2\C=C\c2ccc(cn2)-c2cccc(F)c2)C1
tamoxifen	26972	BRD-K93754473	100	FDA	ESR1;ESR2	modulator of estrogen receptors	Sigma-Aldrich	T5648	CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1
quizartinib	640011	BRD-K93918653	66	clinical	FLT3	inhibtor of VEGFR3	Selleck	S1526	CC(C)(C)c1cc(NC(=O)Nc2ccc(cc2)-c2cn3c(n2)sc2cc(OCCN4CCOCC4)ccc32)no1
CHM-1	609674	BRD-K94145482	16	probe		inhibitor of tubulin polymerization	Tocris Bioscience	3868	Fc1ccccc1-c1cc(=O)c2cc3OCOc3cc2[nH]1
BRD1378	53556	BRD-K94991378	83	probe		inducer of ROS	Broad Institute of MIT and Harvard		COCCOC(=O)N1C(=O)[C@]2([C@@H]([C@@H]3N([C@@H]2c2ccccc2OCCO)[C@H]([C@H](OC3=O)c2ccccc2)c2ccccc2)C(=O)NCC=C)c2cc(ccc12)C#CCC(C(=O)OC)C(=O)OC
VAF-347	659226	BRD-K96335988	66	probe	AHR	inhibitor of aryl hydrocarbon receptor	Broad Institute of MIT and Harvard		FC(F)(F)c1ccc(Nc2nccc(n2)-c2cccc(Cl)c2)cc1
BRD-K96431673	417262	BRD-K96431673	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CN1CCN(CC1)C(=O)C[C@H]1CC[C@H](NC(=O)c2ccc3OCOc3c2)[C@@H](CO)O1
pifithrin-mu	375596	BRD-K96799727	33	probe	HSPA1A;HSPA1B;HSPA1L;TP53	inhibitor of p53 binding to mitochondria; inhibitor of HSP70	Sigma-Aldrich	P0122	NS(=O)(=O)C#Cc1ccccc1
BRD-K96970199	410703	BRD-K96970199	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C\C=C\c1ccc2c(O[C@@H](CN(C)C(=O)c3ccccc3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1
BRD-K97651142	660135	BRD-K97651142	66	probe		aphrocallistin derivative	Sanford-Burnham Medical Research Institute		CN(CCc1cc(Br)c(OCCCNc2ncnc3n(C)cnc23)c(Br)c1)C(=O)c1ccc(C)cc1
GSK-J4	687735	BRD-K98203492	66	probe	KDM6A;KDM6B	inhibitor of lysine-specific demethylases	Tocris Bioscience	4594	CCOC(=O)CCNc1cc(nc(n1)-c1ccccn1)N1CCc2ccccc2CC1
16-beta-bromoandrosterone	411726	BRD-K98404142	37	probe		dehydroepiandrosterone (DHEA) analog	Sigma-Aldrich	B9392	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1C[C@H](Br)C2=O
pluripotin	411833	BRD-K98538768	33	probe	MAPK1;RASAL1	promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK	Cayman	10009557	CN1C(=O)N(Cc2cnc(Nc3cc(C)nn3C)nc12)c1cc(NC(=O)c2cccc(c2)C(F)(F)F)ccc1C
BRD-K99006945	687395	BRD-K99006945	66	probe		screening hit	Broad Institute of MIT and Harvard		CCN(CC)c1ccc(cc1)C1=NNC(=O)C[C@H]1C
JW-480	660227	BRD-K99655327	66	probe	NCEH1	inhibitor of serine hydrolase enzyme NCEH	Tocris Bioscience	4327	CC(C)c1ccccc1OC(=O)NCCc1ccc2ccccc2c1
linifanib	606033	BRD-K99749624	66	clinical	FLT1;FLT3;KDR	inhibitor of VEGFRs	Selleck	S1003	Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1
BRD-M00053801	660890	BRD-M00053801	66	probe	BCL2	inhibitor of BCL2	Broad Institute of MIT and Harvard		C[C@H](O)[C@@H]1[C@H](CO)ON(Cc2cccc(CN(CCN(C)C)[C@H](C3CCCCC3)c3ccccc3)c2)[C@@H]1C(=O)N[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C.C[C@H](O)[C@@H]1[C@H](CO)ON(Cc2cccc(CN(CCN(C)C)[C@@H](C3CCCCC3)c3ccccc3)c2)[C@@H]1C(=O)N[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C
